movieId,title,genres,abstract_en,abstract_kk,abstract_fr,description_en,description_kk,description_fr
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's room. However, they must work together to escape a malicious neighbor.","Баланың бөлмесіндегі ең жақсы ойыншық ретінде жаңа ғарышкер ойыншығы келгенде, бір ковбой қуыршақ қатты қызғаныш сезіміне бөленеді. Алайда, олар жауыз көршіден қашып құтылу үшін бірге жұмыс істеуі керек.","Un cow-boy en jouet se sent profondément menacé et jaloux lorsqu'une nouvelle figurine d'astronaute le supplante en tant que jouet préféré dans la chambre d'un garçon. Cependant, ils doivent collaborer pour échapper à un voisin malveillant.","Toy Story follows Woody, a pull-string cowboy doll who has always been Andy's favorite toy. His position is threatened when Andy receives Buzz Lightyear, a space ranger action figure, for his birthday. Jealousy and rivalry ensue, leading to Woody and Buzz getting lost outside of Andy's house. They must overcome their differences and work together to return to Andy before he moves to a new house. The film explores themes of friendship, loyalty, and growing up, and is notable for being the first feature-length film animated entirely by computer.","Ойыншықтар хикаясы Эндидің ең сүйікті ойыншығы болған Вуди есімді ковбой қуыршағы туралы баяндайды. Энди туған күніне ғарыш рейнджері Базз Лайтерді алғанда, оның позициясына қауіп төнеді. Қызғаныш пен бәсекелестік Вуди мен Базздың Эндидің үйінен тыс жерде адасып кетуіне әкеледі. Олар айырмашылықтарын жеңіп, Энди жаңа үйге көшкенге дейін оған қайтып оралу үшін бірге жұмыс істеуі керек. Фильм достық, адалдық және өсу тақырыптарын зерттейді және толығымен компьютерлік анимациямен жасалған алғашқы толықметражды фильм болғанымен ерекшеленеді.","Toy Story suit Woody, une poupée de cow-boy à ficelle qui a toujours été le jouet préféré d'Andy. Sa position est menacée lorsqu'Andy reçoit Buzz l'Éclair, une figurine de ranger de l'espace, pour son anniversaire. La jalousie et la rivalité s'ensuivent, conduisant Woody et Buzz à se perdre à l'extérieur de la maison d'Andy. Ils doivent surmonter leurs différences et travailler ensemble pour retourner auprès d'Andy avant qu'il ne déménage dans une nouvelle maison. Le film explore les thèmes de l'amitié, de la loyauté et du passage à l'âge adulte, et est remarquable pour être le premier long métrage entièrement animé par ordinateur."
2,Jumanji (1995),Adventure|Children|Fantasy,"When two kids find and play a magical board game, they release a man trapped for decades and a host of dangers into their town. They must finish the game to restore order.","Екі бала сиқырлы ойын тауып, ойнаған кезде, олар ондаған жылдар бойы тұтқында болған адамды және қауіптің көптеген түрін өз қаласына шығарады. Олар тәртіпті қалпына келтіру үшін ойынды аяқтауы керек.","Lorsque deux enfants trouvent et jouent à un jeu de société magique, ils libèrent un homme piégé depuis des décennies et une foule de dangers dans leur ville. Ils doivent terminer le jeu pour rétablir l'ordre.","In Jumanji, Alan Parrish, trapped in a board game for 26 years, is accidentally released by siblings Judy and Peter Shepherd. The game unleashes jungle elements and wild animals into their quiet town, transforming it into a chaotic landscape. To reverse the effects and free Alan permanently, the trio, joined by Alan's childhood friend Sarah Whittle, must finish the game. Jumanji explores themes of family, responsibility, and facing one's fears, blending adventure, comedy, and fantasy elements with groundbreaking special effects for its time. The film's enduring appeal lies in its imaginative premise and the thrilling challenges the characters must overcome.","Джуманджиде Алан Пэрриш 26 жыл бойы үстел ойынында қалып, абайсызда Джуди мен Питер Шеперд бауырлары босатады. Ойын олардың тыныш қаласына джунгли элементтерін және жабайы жануарларды шығарып, оны хаотикалық ландшафтқа айналдырады. Әсерді жою және Аланды біржола босату үшін трио, Аланның балалық шағындағы досы Сара Уиттлмен бірге ойынды аяқтауы керек. Джуманджи отбасы, жауапкершілік және қорқынышпен бетпе-бет келу тақырыптарын зерттейді, шытырман оқиғаларды, комедияны және қиял элементтерін сол кездегі жаңа арнайы эффектілермен біріктіреді. Фильмнің ұзаққа созылатын тартымдылығы оның қиялында және кейіпкерлер жеңуі керек қызықты қиындықтарда жатыр.","Dans Jumanji, Alan Parrish, piégé dans un jeu de société pendant 26 ans, est accidentellement libéré par les frères et sœurs Judy et Peter Shepherd. Le jeu déchaîne des éléments de la jungle et des animaux sauvages dans leur ville tranquille, la transformant en un paysage chaotique. Pour inverser les effets et libérer Alan de façon permanente, le trio, rejoint par Sarah Whittle, l'amie d'enfance d'Alan, doit terminer le jeu. Jumanji explore les thèmes de la famille, de la responsabilité et de la confrontation à ses peurs, en mélangeant des éléments d'aventure, de comédie et de fantastique avec des effets spéciaux révolutionnaires pour l'époque. L'attrait durable du film réside dans son concept imaginatif et les défis passionnants que les personnages doivent surmonter."
3,Grumpier Old Men (1995),Comedy|Romance,"Lifelong rivals John and Max find their feud reignited when a charming woman opens a bait shop across the street from their favorite fishing spot. Their antics escalate as they compete for her affection, leading to hilarious and heartwarming situations.","Өмір бойы бәсекелес Джон мен Макс сүйікті балық аулау орнының қарсысында сүйкімді әйел жем дүкенін ашқанда, олардың араздасуы қайта жанданады. Олардың қылықтары оның сүйіспеншілігі үшін жарысады, бұл күлкілі және жүрекке жылы тиетін жағдайларға әкеледі.","Les rivaux de toujours, John et Max, voient leur querelle ravivée lorsqu'une femme charmante ouvre un magasin d'appâts en face de leur lieu de pêche préféré. Leurs pitreries s'intensifient alors qu'ils rivalisent pour son affection, menant à des situations hilarantes et réconfortantes.","In ""Grumpier Old Men,"" John and Max, still locked in their decades-long rivalry, face a new challenge when Ariel Truax opens a bait shop and restaurant, threatening their beloved fishing spot and capturing their attention. Their attempts to sabotage Ariel's business backfire in comical ways, leading to escalating pranks and hilarious confrontations. As they vie for Ariel's affection, their antics force them to confront their own aging and loneliness. The film explores themes of friendship, love, and the acceptance of change, all wrapped in a lighthearted and humorous package. The return of the original cast, including Walter Matthau and Jack Lemmon, ensures a continuation of the beloved grumpy dynamic.","""Grumpier Old Men"" фильмінде ондаған жылдар бойы бәсекелестікте қалып отырған Джон мен Макс жаңа қиындыққа тап болады, өйткені Ариэль Труак жем дүкені мен мейрамханасын ашып, олардың сүйікті балық аулау орнына қауіп төндіреді және олардың назарын аударады. Ариэльдің бизнесіне зиян келтіру әрекеттері күлкілі түрде кері әсерін тигізеді, бұл қылықтардың және күлкілі қақтығыстардың күшеюіне әкеледі. Олар Ариэльдің сүйіспеншілігі үшін жарыса отырып, олардың қылықтары оларды қартаю мен жалғыздыққа қарсы тұруға мәжбүр етеді. Фильм достық, махаббат және өзгерістерді қабылдау тақырыптарын зерттейді, мұның бәрі жеңіл және әзілдік пакетке оралған. Уолтер Маттау мен Джек Леммонды қоса алғанда, түпнұсқа актерлік құрамның оралуы сүйікті ашулы динамиканың жалғасуын қамтамасыз етеді.","Dans ""Grumpier Old Men"", John et Max, toujours enfermés dans leur rivalité de plusieurs décennies, font face à un nouveau défi lorsqu'Ariel Truax ouvre un magasin d'appâts et un restaurant, menaçant leur lieu de pêche bien-aimé et captivant leur attention. Leurs tentatives de saboter l'entreprise d'Ariel se retournent contre eux de manière comique, entraînant une escalade de farces et des confrontations hilarantes. Alors qu'ils rivalisent pour l'affection d'Ariel, leurs pitreries les obligent à affronter leur propre vieillissement et leur solitude. Le film explore les thèmes de l'amitié, de l'amour et de l'acceptation du changement, le tout enveloppé dans un emballage léger et humoristique. Le retour de la distribution originale, dont Walter Matthau et Jack Lemmon, assure une continuation de la dynamique grincheuse bien-aimée."
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Four African-American women navigate the complexities of love, life, and relationships while supporting each other through thick and thin. They grapple with heartbreak, career challenges, and the search for fulfilling partnerships.","Төрт афроамерикалық әйел махаббат, өмір және қарым-қатынастардың күрделіліктерін бастан кешіреді, бір-біріне қиындықтар мен қуаныштарда қолдау көрсетеді. Олар жүрек жарасымен, мансаптық қиындықтармен және толыққанды серіктестік іздеумен күреседі.","Quatre femmes afro-américaines naviguent à travers les complexités de l'amour, de la vie et des relations, tout en se soutenant mutuellement dans les bons et les mauvais moments. Elles sont confrontées au chagrin d'amour, aux défis professionnels et à la recherche de partenariats épanouissants.","""Waiting to Exhale"" follows the intertwined lives of Savannah, Bernadine, Robin, and Gloria, four close friends living in Phoenix, Arizona. Each woman is successful in her career but struggles to find a man who can truly commit and offer the love they desire. Bernadine's husband leaves her for a younger woman, leaving her devastated and seeking revenge. Savannah relocates for a new job, hoping for a fresh start in her love life. Robin jumps from one unsatisfying relationship to another, while Gloria, a single mother, longs for a stable and loving partner. The film explores themes of female friendship, self-discovery, and the challenges faced by African-American women in their pursuit of happiness and fulfillment.","""Waiting to Exhale"" Финикс, Аризона штатында тұратын төрт жақын дос Саванна, Бернадин, Робин және Глорияның өзара байланысты өмірін баяндайды. Әрбір әйел өз мансабында табысты, бірақ шынайы беріліп, олар қалаған махаббатты ұсына алатын ер адамды табуға тырысады. Бернадиннің күйеуі оны жас әйелге тастап кетеді, бұл оны күйзеліске ұшыратады және кек іздеуге мәжбүр етеді. Саванна махаббат өмірінде жаңа бастамаға үміттеніп, жаңа жұмысқа көшеді. Робин бір қанағаттандырмайтын қарым-қатынастан екіншісіне секіреді, ал жалғызбасты ана Глория тұрақты және сүйіспеншілікке толы серіктестікті аңсайды. Фильм әйелдер достығы, өзін-өзі тану және афроамерикалық әйелдердің бақыт пен қанағаттану жолындағы қиындықтары тақырыптарын зерттейді.","""Waiting to Exhale"" suit les vies entrelacées de Savannah, Bernadine, Robin et Gloria, quatre amies proches vivant à Phoenix, en Arizona. Chaque femme réussit dans sa carrière, mais a du mal à trouver un homme capable de s'engager véritablement et d'offrir l'amour qu'elle désire. Le mari de Bernadine la quitte pour une femme plus jeune, la laissant dévastée et cherchant à se venger. Savannah déménage pour un nouvel emploi, espérant un nouveau départ dans sa vie amoureuse. Robin passe d'une relation insatisfaisante à une autre, tandis que Gloria, mère célibataire, aspire à un partenaire stable et aimant. Le film explore les thèmes de l'amitié féminine, de la découverte de soi et des défis auxquels sont confrontées les femmes afro-américaines dans leur quête du bonheur et de l'épanouissement."
5,Father of the Bride Part II (1995),Comedy,George Banks grapples with the simultaneous pregnancies of his daughter and his wife. Hilarity ensues as he navigates the challenges of impending grandparenthood and fatherhood at the same time.,"Джордж Бэнкс бір уақытта қызы мен әйелінің жүктілігімен күреседі. Ол бір уақытта ата болу және әке болу қиындықтарын шешуге тырысқанда, күлкілі жағдайлар орын алады.",George Banks est confronté aux grossesses simultanées de sa fille et de sa femme. L'hilarité s'ensuit alors qu'il navigue dans les défis de la paternité et de la grand-paternité imminentes.,"In this comedic sequel to ""Father of the Bride,"" George Banks finds himself facing the prospect of becoming a grandfather just as his wife, Nina, discovers she's pregnant. George struggles to accept the changes in his life, feeling overwhelmed by the thought of aging and the responsibilities of caring for both a newborn and a grandchild. The film explores themes of family, aging, and adapting to life's unexpected turns, all while delivering plenty of laughs through George's over-the-top reactions and the chaotic situations he finds himself in. With a stellar cast and witty writing, ""Father of the Bride Part II"" offers a heartwarming and humorous look at the joys and challenges of family life.","""Қалыңдықтың әкесі"" комедиялық сиквелінде Джордж Бэнкс әйелі Нина жүкті екенін білген кезде, өзін ата болу перспективасымен бетпе-бет келеді. Джордж өміріндегі өзгерістерді қабылдауға тырысады, қартаю және жаңа туған нәрестеге де, немереге де қамқорлық жасау жауапкершілігі туралы ойдан абдырап қалады. Фильм отбасы, қартаю және өмірдің күтпеген бұрылыстарына бейімделу тақырыптарын зерттейді, сонымен бірге Джордждың шектен тыс реакциялары мен ол тап болатын хаотикалық жағдайлар арқылы көптеген күлкілерді ұсынады. Жұлдызды актерлік құраммен және ақылды жазумен ""Қалыңдықтың әкесі II бөлім"" отбасылық өмірдің қуаныштары мен қиындықтарына жүрек жылытатын және әзіл-оспақ көзқарасты ұсынады.","Dans cette suite comique de ""Father of the Bride"", George Banks se retrouve confronté à la perspective de devenir grand-père au moment même où sa femme, Nina, découvre qu'elle est enceinte. George a du mal à accepter les changements dans sa vie, se sentant dépassé par l'idée de vieillir et les responsabilités de s'occuper à la fois d'un nouveau-né et d'un petit-enfant. Le film explore les thèmes de la famille, du vieillissement et de l'adaptation aux tournants inattendus de la vie, tout en offrant de nombreux rires grâce aux réactions excessives de George et aux situations chaotiques dans lesquelles il se retrouve. Avec une distribution exceptionnelle et une écriture pleine d'esprit, ""Father of the Bride Part II"" offre un regard réconfortant et humoristique sur les joies et les défis de la vie de famille."
6,Heat (1995),Action|Crime|Thriller,"A seasoned LAPD detective and a professional thief face off in a high-stakes game of cat and mouse. Their personal lives intertwine as they prepare for one final, audacious heist.","Тәжірибелі Лос-Анджелес полициясының детективі мен кәсіби ұры қарсыласып, қауіпті мысық-тышқан ойынын ойнайды. Олардың жеке өмірлері бір-бірімен байланысып, соңғы, батыл тонауға дайындалады.",Un détective chevronné de la police de Los Angeles et un voleur professionnel s'affrontent dans un jeu du chat et de la souris à enjeux élevés. Leurs vies personnelles s'entremêlent alors qu'ils se préparent pour un dernier braquage audacieux.,"Heat is a 1995 crime thriller that pits Lieutenant Vincent Hanna, a dedicated and obsessive LAPD detective, against Neil McCauley, a meticulous and professional thief planning one last big score. The film explores the parallel lives of these two men, both masters of their respective crafts, as they navigate the dangerous world of crime and law enforcement. As Hanna closes in on McCauley's crew, their paths repeatedly cross, leading to intense confrontations and a grudging respect. The film delves into themes of isolation, ambition, and the personal sacrifices made in pursuit of their chosen paths. The iconic shootout on the streets of Los Angeles remains a cinematic highlight, showcasing the film's gritty realism and intense action sequences.","Heat - бұл 1995 жылғы қылмыстық триллер, онда адал және құмар Лос-Анджелес полициясының лейтенанты Винсент Ханна соңғы ірі табысқа жоспар құрған ұқыпты және кәсіби ұры Нил МакКолиге қарсы тұрады. Фильм қылмыс пен құқық қорғаудың қауіпті әлемінде жүрген осы екі адамның, өз істерінің шеберлерінің параллель өмірін зерттейді. Ханна МакКолидің тобына жақындаған сайын, олардың жолдары қайта-қайта қиылысып, қарқынды қақтығыстарға және өзара құрметке әкеледі. Фильм оқшаулану, амбиция және таңдалған жолдарды іздеудегі жеке құрбандықтар тақырыптарын қарастырады. Лос-Анджелес көшелеріндегі әйгілі атыс фильмнің шынайылығы мен қарқынды экшн көріністерін көрсететін кинематографиялық маңызды оқиға болып қала береді.","Heat est un thriller policier de 1995 qui oppose le lieutenant Vincent Hanna, un détective du LAPD dévoué et obsessionnel, à Neil McCauley, un voleur méticuleux et professionnel qui planifie un dernier gros coup. Le film explore les vies parallèles de ces deux hommes, tous deux maîtres dans leur domaine respectif, alors qu'ils naviguent dans le monde dangereux du crime et de l'application de la loi. Alors que Hanna se rapproche de l'équipe de McCauley, leurs chemins se croisent à plusieurs reprises, menant à des confrontations intenses et à un respect mutuel. Le film aborde les thèmes de l'isolement, de l'ambition et des sacrifices personnels consentis dans la poursuite de leurs voies choisies. La fusillade emblématique dans les rues de Los Angeles reste un moment fort du cinéma, mettant en valeur le réalisme brut et les séquences d'action intenses du film."
7,Sabrina (1995),Comedy|Romance,"A chauffeur's daughter returns from Paris a sophisticated woman and catches the eye of two brothers, one a playboy and the other a workaholic. Their rivalry for her affection leads to unexpected consequences.","Жүргізушінің қызы Парижден қайтып келгенде, ол екі ағайындының назарын аударады: бірі - ойынқұмар, екіншісі - жұмыстан басы шықпайтын адам. Олардың оған деген сүйіспеншілігі күтпеген салдарға әкеледі.","La fille d'un chauffeur revient de Paris, transformée en une femme sophistiquée, et attire l'attention de deux frères, l'un étant un playboy et l'autre un bourreau de travail. Leur rivalité pour gagner son affection mène à des conséquences inattendues.","Sabrina Fairchild, the daughter of the Larrabee family's chauffeur, returns home from a fashion internship in Paris a sophisticated and confident woman. She immediately captures the attention of David Larrabee, the charming but irresponsible younger brother, who was oblivious to her existence before. However, David's older brother, Linus, a workaholic businessman, sees Sabrina as a threat to a lucrative merger. Linus attempts to distract Sabrina by feigning interest in her, but unexpectedly finds himself falling in love. The film explores themes of class, love, and personal transformation, showcasing Sabrina's journey as she navigates the complexities of the Larrabee family and discovers her own desires.","Ларраби отбасының жүргізушісінің қызы Сабрина Фэйрчайлд Париждегі сән стажировкасынан үйге талғампаз және сенімді әйел болып оралады. Ол бірден Дэвид Ларрабидің назарын аударады, ол сүйкімді, бірақ жауапсыз кіші ағасы, бұрын оның бар екенін білмеген. Алайда Дэвидтің үлкен ағасы, жұмыстан басы шықпайтын бизнесмен Линус Сабринаны пайдалы бірігуге қауіп төндіреді деп санайды. Линус Сабринаға қызығушылық танытқандай кейіп танытып, оны алаңдатуға тырысады, бірақ күтпеген жерден өзі ғашық болып қалады. Фильм тап, махаббат және жеке трансформация тақырыптарын зерттейді, Сабринаның Ларраби отбасының қиындықтарын шешіп, өз қалауларын ашқан кездегі саяхатын көрсетеді.","Sabrina Fairchild, la fille du chauffeur de la famille Larrabee, revient d'un stage de mode à Paris, transformée en une femme sophistiquée et sûre d'elle. Elle attire immédiatement l'attention de David Larrabee, le jeune frère charmant mais irresponsable, qui ignorait son existence auparavant. Cependant, le frère aîné de David, Linus, un homme d'affaires bourreau de travail, voit Sabrina comme une menace pour une fusion lucrative. Linus tente de distraire Sabrina en feignant de s'intéresser à elle, mais se retrouve de manière inattendue à tomber amoureux. Le film explore les thèmes de la classe sociale, de l'amour et de la transformation personnelle, mettant en valeur le parcours de Sabrina alors qu'elle navigue dans les complexités de la famille Larrabee et découvre ses propres désirs."
8,Tom and Huck (1995),Adventure|Children,Tom Sawyer and Huckleberry Finn witness a murder and must evade the real killer while trying to clear an innocent man's name. Their adventure takes them through the Mississippi River and into dangerous situations.,"Том Сойер мен Гекльберри Финн кісі өлтіруге куә болып, кінәсіз адамның атын тазартуға тырысып, нағыз өлтірушіден қашуы керек. Олардың шытырман оқиғасы Миссисипи өзені арқылы және қауіпті жағдайларға апарады.",Tom Sawyer et Huckleberry Finn sont témoins d'un meurtre et doivent échapper au véritable assassin tout en essayant de blanchir le nom d'un innocent. Leur aventure les emmène à travers le fleuve Mississippi et dans des situations dangereuses.,"Based on Mark Twain's classic novels, ""Tom and Huck"" follows the escapades of two young boys in 19th-century Missouri. Tom Sawyer, a mischievous and imaginative boy, and Huckleberry Finn, a free-spirited runaway, find themselves embroiled in a murder mystery when they witness Injun Joe commit a crime. Fearing for their lives, they run away and embark on a thrilling journey down the Mississippi River. Along the way, they encounter various challenges and colorful characters, all while trying to expose Injun Joe and save the wrongly accused Muff Potter. The film captures the spirit of adventure and the importance of friendship, loyalty, and doing what's right, even when it's difficult.","Марк Твеннің классикалық романдарына негізделген «Том мен Гек» 19 ғасырдағы Миссуридегі екі жас баланың бастан кешіргендерін баяндайды. Тентек және қияли бала Том Сойер мен еркін рухты қашқын Гекльберри Финн Инжун Джо қылмыс жасағанын көргенде, кісі өлтіру құпиясына тап болады. Өз өмірлерінен қорыққан олар қашып кетіп, Миссисипи өзенімен қызықты саяхатқа шығады. Жол бойында олар әртүрлі қиындықтар мен түрлі-түсті кейіпкерлерге тап болады, сонымен бірге Инжун Джоны әшкерелеп, қате айыпталған Мафф Поттерді құтқаруға тырысады. Фильм шытырман оқиғалар рухын және достықтың, адалдықтың және қиын болса да, дұрыс әрекет етудің маңыздылығын көрсетеді.","Basé sur les romans classiques de Mark Twain, ""Tom et Huck"" suit les péripéties de deux jeunes garçons dans le Missouri du 19ème siècle. Tom Sawyer, un garçon espiègle et imaginatif, et Huckleberry Finn, un fugitif à l'esprit libre, se retrouvent mêlés à un mystère de meurtre lorsqu'ils sont témoins d'un crime commis par Injun Joe. Craignant pour leur vie, ils s'enfuient et se lancent dans un voyage passionnant sur le fleuve Mississippi. En chemin, ils rencontrent divers défis et des personnages hauts en couleur, tout en essayant de démasquer Injun Joe et de sauver Muff Potter, accusé à tort. Le film capture l'esprit d'aventure et l'importance de l'amitié, de la loyauté et de faire ce qui est juste, même lorsque c'est difficile."
9,Sudden Death (1995),Action,A fireman must stop a group of terrorists who are holding the Vice President hostage during the Stanley Cup Finals. He has to act fast to save his daughter and thousands of others.,Өрт сөндіруші Стэнли Кубогының финалы кезінде вице-президентті кепілге алған террористер тобын тоқтатуы керек. Ол қызы мен мыңдаған адамды құтқару үшін тез әрекет етуі керек.,Un pompier doit arrêter un groupe de terroristes qui retiennent le vice-président en otage pendant la finale de la Coupe Stanley. Il doit agir vite pour sauver sa fille et des milliers d'autres personnes.,"In the high-octane action thriller Sudden Death, Jean-Claude Van Damme stars as Darren McCord, a former firefighter now working as a fire marshal at the Pittsburgh Civic Arena. During the Stanley Cup Finals, a group of terrorists led by the ruthless Joshua Foss seize control of the arena, holding the Vice President of the United States and thousands of spectators hostage. Foss demands a hefty ransom, but McCord discovers his daughter is also trapped in the arena. Driven by a father's love and a hero's instinct, McCord must use his skills and courage to infiltrate the arena, outwit the terrorists, and save the day before time runs out. The film is filled with intense fight sequences, explosive stunts, and a race against the clock, showcasing Van Damme's martial arts prowess and action star charisma.","""Кенеттен өлім"" атты жоғары октанды экшн-триллерде Жан-Клод Ван Дамм Питтсбург азаматтық аренасында өрт сөндіруші болып жұмыс істейтін бұрынғы өрт сөндіруші Даррен МакКордтың рөлін сомдайды. Стэнли Кубогының финалы кезінде қатыгез Джошуа Фосс басқарған террористер тобы аренаны басып алып, Америка Құрама Штаттарының вице-президентін және мыңдаған көрерменді кепілге алады. Фосс үлкен көлемдегі төлемді талап етеді, бірақ МакКорд оның қызы да аренада қалып қойғанын біледі. Әке махаббаты мен батырлық инстинктінің жетегінде МакКорд аренаға ену, террористерді алдау және уақыт бітпей тұрып күнді құтқару үшін өз шеберлігі мен батылдығын пайдалануы керек. Фильм қарқынды төбелес көріністеріне, жарылғыш трюктерге және уақытпен жарысуға толы, Ван Даммның жауынгерлік өнерінің шеберлігі мен экшн жұлдызының харизмасын көрсетеді.","Dans le thriller d'action à indice d'octane élevé, Mort Subite, Jean-Claude Van Damme incarne Darren McCord, un ancien pompier qui travaille maintenant comme prévôt des incendies à la Pittsburgh Civic Arena. Pendant la finale de la Coupe Stanley, un groupe de terroristes dirigé par l'impitoyable Joshua Foss prend le contrôle de l'arène, retenant en otage le vice-président des États-Unis et des milliers de spectateurs. Foss exige une rançon importante, mais McCord découvre que sa fille est également piégée dans l'arène. Poussé par l'amour d'un père et l'instinct d'un héros, McCord doit utiliser ses compétences et son courage pour infiltrer l'arène, déjouer les terroristes et sauver la situation avant qu'il ne soit trop tard. Le film est rempli de séquences de combat intenses, de cascades explosives et d'une course contre la montre, mettant en valeur les prouesses de Van Damme en arts martiaux et le charisme d'une star de l'action."
10,GoldenEye (1995),Action|Adventure|Thriller,"James Bond must stop a criminal syndicate from using a powerful satellite weapon, GoldenEye, against London. He teams up with a programmer to thwart their plans and confront a former ally turned enemy.",Джеймс Бонд Лондонға қарсы «Алтын көз» атты қуатты спутниктік қаруды қолданбақ болған қылмыстық синдикатты тоқтатуы керек. Ол олардың жоспарларын бұзу және бұрынғы одақтасын жауға айналдыру үшін бағдарламашымен бірігеді.,"James Bond doit empêcher un syndicat criminel d'utiliser une arme satellite puissante, GoldenEye, contre Londres. Il fait équipe avec une programmatrice pour contrecarrer leurs plans et affronter un ancien allié devenu ennemi.","In GoldenEye, James Bond, portrayed by Pierce Brosnan in his debut role, faces off against the Janus Syndicate, a criminal organization led by a former MI6 agent, Alec Trevelyan (006). Trevelyan seeks revenge against the British government for betraying his Lienz Cossack parents. Bond must race against time to prevent the syndicate from using the GoldenEye satellite weapon to cripple London's financial system. Along the way, he partners with Natalya Simonova, a Russian programmer who holds crucial information about the weapon. The film features thrilling action sequences, exotic locations, and a compelling narrative of betrayal and redemption, marking a significant entry in the Bond franchise.","«Алтын көзде» Джеймс Бонд, Пирс Броснанның дебюттік рөлінде, бұрынғы MI6 агенті Алек Тревельян (006) басқаратын Janus Syndicate қылмыстық ұйымына қарсы тұрады. Тревельян өзінің Лиенц казак ата-анасына опасыздық жасағаны үшін британ үкіметінен кек алғысы келеді. Бонд синдикаттың Лондонның қаржы жүйесін зақымдау үшін «Алтын көз» спутниктік қаруын қолдануына жол бермеу үшін уақытпен жарысуы керек. Жолда ол қару туралы маңызды ақпаратқа ие ресейлік бағдарламашы Наталья Симоновамен серіктес болады. Фильмде қызықты экшн көріністері, экзотикалық жерлер және опасыздық пен өтеу туралы тартымды баяндау бар, бұл Бонд франшизасындағы маңызды жазба.","Dans GoldenEye, James Bond, interprété par Pierce Brosnan dans son premier rôle, affronte le syndicat Janus, une organisation criminelle dirigée par un ancien agent du MI6, Alec Trevelyan (006). Trevelyan cherche à se venger du gouvernement britannique pour avoir trahi ses parents cosaques de Lienz. Bond doit faire la course contre la montre pour empêcher le syndicat d'utiliser l'arme satellite GoldenEye pour paralyser le système financier de Londres. En cours de route, il s'associe à Natalya Simonova, une programmatrice russe qui détient des informations cruciales sur l'arme. Le film présente des scènes d'action palpitantes, des lieux exotiques et un récit captivant de trahison et de rédemption, marquant une entrée importante dans la franchise Bond."
